epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,702.692,0.76165,1.42907,1.04086,0.78886,0.28571,0.50609,0.19884,1.84805,2.50857,2.15839,0.000121099,0.000121099,0.000121099
182,704.619,0.81472,1.62825,1.07045,0.78886,0.28571,0.50609,0.19884,1.84805,2.50857,2.15839,0.0001156,0.0001156,0.0001156
183,706.446,0.73213,1.28275,1.02166,0.7879,0.28571,0.51687,0.20979,1.83988,2.44364,2.15297,0.0001101,0.0001101,0.0001101
184,708.19,0.68485,1.20493,0.98653,0.7879,0.28571,0.51687,0.20979,1.83988,2.44364,2.15297,0.000104601,0.000104601,0.000104601
185,710.118,0.72814,1.40195,1.01951,0.7879,0.28571,0.51687,0.20979,1.83988,2.44364,2.15297,9.91012e-05,9.91012e-05,9.91012e-05
186,712.784,0.73288,1.12132,0.99832,0.78724,0.28571,0.51845,0.20784,1.77606,2.41738,2.11308,9.36017e-05,9.36017e-05,9.36017e-05
187,714.462,0.7239,1.20765,0.98328,0.78724,0.28571,0.51845,0.20784,1.77606,2.41738,2.11308,8.81023e-05,8.81023e-05,8.81023e-05
188,716.184,0.79941,1.26938,1.06473,0.78724,0.28571,0.51845,0.20784,1.77606,2.41738,2.11308,8.26028e-05,8.26028e-05,8.26028e-05
189,717.68,0.79003,1.24736,1.01792,0.4559,0.35926,0.51058,0.20384,1.76274,2.41524,2.09625,7.71034e-05,7.71034e-05,7.71034e-05
190,719.583,0.81741,1.48779,1.03284,0.4559,0.35926,0.51058,0.20384,1.76274,2.41524,2.09625,7.1604e-05,7.1604e-05,7.1604e-05
191,755.345,0.84084,1.90916,1.01143,0.4559,0.35926,0.51058,0.20384,1.76274,2.41524,2.09625,6.61045e-05,6.61045e-05,6.61045e-05
192,756.851,0.56405,13.5123,0.75418,0.4559,0.35926,0.51058,0.20384,1.76274,2.41524,2.09625,6.06051e-05,6.06051e-05,6.06051e-05
193,758.385,0.60798,19.6187,0.79293,0.50305,0.42857,0.51409,0.21302,1.8702,2.28813,2.26135,5.51056e-05,5.51056e-05,5.51056e-05
194,760.057,0.7266,4.4634,1.39458,0.50305,0.42857,0.51409,0.21302,1.8702,2.28813,2.26135,4.96062e-05,4.96062e-05,4.96062e-05
195,761.717,0.85905,1.757,1.05648,0.50305,0.42857,0.51409,0.21302,1.8702,2.28813,2.26135,4.41067e-05,4.41067e-05,4.41067e-05
196,763.501,0.76929,1.85404,1.0744,0.47682,0.42857,0.47413,0.21127,1.91353,2.25315,2.37619,3.86073e-05,3.86073e-05,3.86073e-05
197,765.402,0.93066,2.56515,1.10665,0.47682,0.42857,0.47413,0.21127,1.91353,2.25315,2.37619,3.31078e-05,3.31078e-05,3.31078e-05
198,769.578,0.81412,1.65575,1.09025,0.47682,0.42857,0.47413,0.21127,1.91353,2.25315,2.37619,2.76084e-05,2.76084e-05,2.76084e-05
199,771.982,0.5874,15.5701,0.78328,0.4796,0.42857,0.47317,0.21049,1.92512,2.18873,2.40578,2.21089e-05,2.21089e-05,2.21089e-05
200,774.267,0.78429,1.52981,1.06373,0.4796,0.42857,0.47317,0.21049,1.92512,2.18873,2.40578,1.66095e-05,1.66095e-05,1.66095e-05
